matricule;etat_disponibilite;etat_situation;date_debut;date_fin;id_uf;statut_rh;position_administrative
1630;IND;ABS_RAISON_PERSO;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;
1445;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;G
1975;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;G
3170;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;G
2001;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPV;SMO
626;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;G
1553;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;G
3336;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;SMO
3169;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;G
2191;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;G
3343;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;G
4356;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;G
1557;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;CDT
610;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;PIE;SPP;G
3344;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;PIE;SPP;G
728;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;CCS;SPP;G
612;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;AJA;SPP;G
5390;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;PIE;SPV;G
436;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;PIE;SPV;G
5713;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;PIE;SPV;G
5192;D0;PRET;2024-08-13T19:00:00+02:00;2024-08-14T07:00:00+02:00;PIE;SPV;G
